user	entity	weight
2	20	11690
2	21	5955
2	22	4616
2	23	3782
2	24	3644
2	25	1868
2	26	1638
2	27	1471
2	28	1438
2	29	1411
2	30	1407
2	31	1373
2	32	1363
3	33	187
4	24	420
4	34	1208
4	35	524
4	36	465
4	37	359
4	38	285
4	39	279
4	40	253
4	41	247
4	42	221
4	43	210
5	44	337
5	45	283
5	46	259
5	47	252
5	48	222
5	49	209
5	50	207
5	51	178
5	52	170
5	53	161
5	54	149
5	55	138
5	56	134
5	57	118
6	58	41
6	59	34
6	60	31
6	61	31
6	62	26
6	63	19
6	64	18
6	65	17
6	66	17
6	67	15
6	68	14
6	69	14
6	70	14
6	71	13
7	72	2356
7	73	1082
7	74	962
7	75	960
7	76	900
7	77	773
7	78	605
7	79	599
7	80	571
7	81	510
8	66	581
8	72	1039
8	75	353
8	82	1735
8	83	819
8	84	794
8	85	588
8	86	527
8	87	494
8	88	494
8	89	345
8	90	277
8	91	229
8	92	177
9	93	1158
9	94	729
9	95	629
9	96	609
9	97	556
9	98	465
9	99	357
9	100	249
9	101	242
9	102	236
9	103	228
10	44	306
10	51	189
10	55	279
10	104	845
10	105	797
10	106	603
10	107	527
10	108	367
10	109	317
10	110	315
10	111	247
10	112	229
10	113	165
10	114	161
11	79	298
11	87	341
11	115	1951
11	116	793
11	117	238
12	43	2976
12	96	59695
12	100	1600
12	118	24097
12	119	7399
12	120	3837
12	121	3526
12	122	1495
12	123	1434
12	124	1341
12	125	1227
12	126	1001
13	55	6
13	74	17
13	79	3
13	80	12
13	87	3
13	127	6
13	128	4
13	129	3
13	130	3
13	131	3
13	132	2
13	133	2
13	134	2
13	135	2
13	136	2
13	137	2
14	138	1259
14	139	908
14	140	849
14	141	834
14	142	654
14	143	653
14	144	650
14	145	648
14	146	634
14	147	632
14	148	627
14	149	621
14	150	619
14	151	610
14	152	610
14	153	601
15	53	235
15	154	546
15	155	484
15	156	346
15	157	337
15	158	306
15	159	302
15	160	279
15	161	258
15	162	255
15	163	251
15	164	226
15	165	226
15	166	223
16	98	154
16	131	251
16	167	502
16	168	457
16	169	389
16	170	367
16	171	308
16	172	257
16	173	250
16	174	217
16	175	195
16	176	190
16	177	174
16	178	167
16	179	148
16	180	144
16	181	144
16	182	143
16	183	139
17	78	306
17	79	219
17	133	188
17	137	1446
17	184	879
17	185	373
17	186	109
17	187	107
18	36	230
18	52	623
18	188	2187
18	189	603
18	190	409
18	191	363
18	192	283
18	193	181
18	194	170
20	36	119
20	195	274
20	196	268
20	197	174
20	198	171
20	199	122
20	200	97
20	201	96
21	74	187
21	79	202
21	130	188
21	132	1953
21	135	210
21	177	180
21	184	118
21	185	764
21	202	426
21	203	271
21	204	183
21	205	178
21	206	164
21	207	120
22	102	677
22	125	939
22	208	2548
22	209	2501
22	210	2334
22	211	1833
22	212	999
22	213	866
22	214	759
22	215	702
22	216	684
22	217	634
22	218	615
22	219	609
22	220	560
23	34	330
23	36	124
23	52	112
23	109	242
23	221	2897
23	222	772
23	223	235
23	224	189
23	225	153
23	226	124
23	227	118
23	228	116
23	229	115
24	74	677
24	110	796
24	230	1999
24	231	1484
24	232	742
24	233	633
24	234	606
24	235	546
24	236	538
25	72	1765
25	73	205
25	74	77
25	75	76
25	79	244
25	80	191
25	87	231
25	88	1146
25	130	186
25	135	96
25	237	3004
25	238	173
25	239	97
26	3	550
26	240	1356
26	241	1223
26	242	1176
26	243	1140
26	244	1088
26	245	376
26	246	328
26	247	316
26	248	313
26	249	205
26	250	142
26	251	127
27	34	200
27	40	156
27	80	86
27	104	408
27	137	144
27	187	226
27	252	198
27	253	114
27	254	100
27	255	97
28	26	14
28	28	11
28	256	14
28	257	13
28	258	11
28	259	11
28	260	9
28	261	9
28	262	8
28	263	7
28	264	7
28	265	7
29	47	23
29	77	33
29	80	62
29	130	32
29	135	53
29	185	144
29	266	106
30	55	209
30	79	131
30	115	130
30	133	95
30	171	110
30	267	1725
30	268	136
30	269	103
30	270	77
31	13	150
31	155	56
31	227	440
31	254	463
31	265	152
31	271	422
31	272	331
31	273	182
31	274	108
31	275	90
31	276	58
31	277	55
32	44	246
32	52	327
32	96	169
32	210	123
32	221	5364
32	278	442
32	279	310
32	280	211
32	281	180
32	282	144
32	283	118
33	34	940
33	40	637
33	42	1383
33	165	318
33	253	354
33	284	2350
33	285	1493
33	286	996
33	287	681
33	288	545
33	289	347
33	290	296
33	291	209
34	36	1416
34	52	394
34	159	412
34	191	1797
34	221	533
34	292	1761
34	293	658
34	294	490
34	295	354
34	296	265
34	297	194
35	298	1
35	299	1
35	300	1
36	47	262
36	199	1417
36	208	952
36	210	1089
36	267	1080
36	301	718
36	302	675
36	303	519
36	304	335
36	305	252
37	164	1395
37	306	527
37	307	474
37	308	313
37	309	312
37	310	303
37	311	288
37	312	281
37	313	265
37	314	258
37	315	235
37	316	219
37	317	217
37	318	213
38	55	153
38	118	9
38	119	9
38	293	15
39	6	76
39	319	119
39	320	109
39	321	90
39	322	67
39	323	66
39	324	60
39	325	58
39	326	55
39	327	53
39	328	52
40	15	1585
40	329	969
40	330	927
40	331	845
40	332	777
40	333	730
40	334	591
40	335	543
40	336	524
40	337	481
40	338	450
40	339	253
40	340	251
40	341	196
40	342	187
40	343	184
40	344	177
40	345	176
41	241	1453
41	250	650
41	346	2498
41	347	1955
41	348	832
41	349	501
41	350	485
41	351	305
42	41	558
42	45	704
42	55	150
42	96	168
42	133	704
42	252	131
42	352	294
42	353	266
42	354	226
42	355	174
43	22	162
43	24	6390
43	46	214
43	70	121
43	80	1045
43	96	1028
43	118	227
43	155	156
43	196	3115
43	261	171
43	356	1015
43	357	380
43	358	225
43	359	187
43	360	128
43	361	123
44	7	117
44	34	132
44	36	915
44	109	331
44	191	178
44	250	109
44	362	793
45	74	189
45	79	148
45	81	139
45	87	615
45	135	418
45	171	4510
45	202	180
45	204	219
45	363	4376
45	364	862
45	365	518
45	366	263
45	367	261
45	368	255
45	369	223
45	370	205
45	371	185
45	372	174
46	79	929
46	80	394
46	87	1668
46	134	417
46	171	671
46	184	559
46	185	746
46	363	1073
46	373	668
46	374	555
46	375	268
46	376	264
47	74	834
47	77	243
47	79	607
47	115	1743
47	127	331
47	184	1075
47	185	1223
47	254	788
47	377	477
47	378	219
48	52	240
48	61	19
48	66	17
48	145	43
48	254	9
48	379	486
48	380	225
48	381	8
49	16	79
49	54	80
49	73	86
49	74	117
49	78	176
49	382	226
49	383	114
49	384	92
49	385	78
49	386	78
50	36	759
50	37	419
50	46	3642
50	52	251
50	55	3036
50	105	599
50	187	298
50	293	533
50	356	779
50	387	2122
50	388	747
50	389	647
50	390	308
50	391	302
50	392	207
51	36	380
51	42	1074
51	209	1122
51	242	1243
51	325	345
51	346	228
51	393	1084
51	394	353
51	395	167
52	119	131
52	208	197
52	218	191
52	325	103
52	396	214
52	397	203
52	398	157
52	399	125
52	400	110
52	401	106
52	402	93
52	403	79
53	72	360
53	74	55
53	87	41
53	98	56
53	120	41
53	127	28
53	130	64
53	132	233
53	404	79
54	72	61
54	74	68
54	87	72
54	127	139
54	132	78
54	133	68
54	237	152
54	405	247
54	406	126
54	407	112
54	408	69
54	409	51
54	410	38
55	52	374
55	70	481
55	376	874
55	411	1141
55	412	821
55	413	786
55	414	624
55	415	560
55	416	548
55	417	533
55	418	461
55	419	439
55	420	390
55	421	371
55	422	354
55	423	339
55	424	306
55	425	305
55	426	303
56	37	822
56	46	484
56	55	1072
56	105	1934
56	109	351
56	391	346
56	427	704
56	428	636
56	429	427
56	430	340
57	46	141
57	96	32
57	105	68
57	118	368
57	185	26
57	302	161
57	303	323
57	364	47
57	431	490
57	432	188
58	79	171
58	98	10
58	184	4269
58	185	4
58	206	3
58	232	275
58	377	11
58	433	27
58	434	9
58	435	6
58	436	5
58	437	3
59	72	458
59	96	1779
59	100	1392
59	155	447
59	286	2900
59	293	1060
59	438	1802
59	439	1778
59	440	1592
59	441	1129
59	442	1055
59	443	816
59	444	624
59	445	610
59	446	591
59	447	559
59	448	425
60	33	40
60	45	43
60	158	55
60	197	42
60	449	88
60	450	72
60	451	69
60	452	68
60	453	56
60	454	53
60	455	52
60	456	52
60	457	49
60	458	47
60	459	47
60	460	45
60	461	44
60	462	44
60	463	44
60	464	42
60	465	39
61	36	316
61	61	249
61	165	220
61	466	696
61	467	285
61	468	267
61	469	237
61	470	187
61	471	178
61	472	170
61	473	170
62	24	91
62	43	145
62	52	99
62	74	135
62	354	139
62	445	214
62	474	144
62	475	110
62	476	77
62	477	73
62	478	64
62	479	62
63	36	147
63	40	73
63	141	103
63	242	184
63	480	86
63	481	66
64	67	216
64	356	248
64	482	494
64	483	264
64	484	249
64	485	245
64	486	186
64	487	185
64	488	181
64	489	168
64	490	167
64	491	154
64	492	144
65	47	355
65	96	132
65	119	88
65	208	74
65	210	136
65	493	210
65	494	137
65	495	73
66	26	888
66	227	313
66	257	688
66	260	455
66	275	381
66	487	370
66	496	1179
66	497	792
66	498	572
66	499	384
66	500	324
66	501	313
66	502	303
66	503	255
68	58	63
68	73	142
