entity	relation	tag
3780	taggedAs	10193
2307	taggedAs	9394
991	taggedAs	9750
2241	film.production_company.film	6895
254	taggedAs	9711
1355	award.winner.awards_won	4878
928	taggedAs	9551
2437	film.actor.film	4974
275	taggedAs	20833
3669	film.person_or_entity_appearing_in_film.film	6238
282	taggedAs	19193
1867	taggedAs	9455
276	taggedAs	11099
713	taggedAs	9544
2483	film.person_or_entity_appearing_in_film.film	6579
2147	taggedAs	10094
1005	people.person.place_of_birth	3864
1739	taggedAs	9382
1225	taggedAs	9446
438	film.person_or_entity_appearing_in_film.film	7570
1312	taggedAs	9385
2600	taggedAs	9759
52	taggedAs	9872
3107	taggedAs	9498
2070	film.actor.film	6863
163	taggedAs	9388
2043	taggedAs	10720
110	taggedAs	9549
493	taggedAs	10869
1821	taggedAs	9549
2430	taggedAs	9396
2241	film.distributor.film	7597
442	taggedAs	9577
2183	taggedAs	9494
1323	film.actor.film	7800
131	film.actor.film	6052
227	taggedAs	9716
1061	taggedAs	9786
1702	taggedAs	12903
442	event.agent.performance	4898
1536	taggedAs	18034
1276	taggedAs	9394
1431	taggedAs	9574
329	music.artist.origin	3864
1707	taggedAs	12923
2241	film.production_company.film	8881
96	taggedAs	10005
1705	film.actor.film	6521
916	taggedAs	11117
2532	taggedAs	9368
115	film.actor.film	8502
3349	taggedAs	9388
3006	taggedAs	9382
79	film.person_or_entity_appearing_in_film.film	6429
1556	taggedAs	9540
1157	film.writer.film	5755
406	taggedAs	9473
3821	film.person_or_entity_appearing_in_film.film	7894
671	taggedAs	19186
3766	taggedAs	9403
2732	event.agent.performance	4035
1816	film.writer.film	8552
3772	film.film.country	4815
3249	taggedAs	9365
888	music.artist.origin	7759
3730	taggedAs	9494
1431	taggedAs	9437
141	taggedAs	9485
159	taggedAs	9660
3708	music.artist.origin	4057
2804	film.person_or_entity_appearing_in_film.film	6088
1230	taggedAs	17302
1822	taggedAs	9385
1625	film.actor.film	8702
2688	film.person_or_entity_appearing_in_film.film	7378
870	taggedAs	9541
140	taggedAs	9389
491	taggedAs	11822
3430	film.actor.film	4352
1668	taggedAs	9660
1388	taggedAs	9445
1358	film.actor.film	4675
2241	film.distributor.film	5336
481	film.person_or_entity_appearing_in_film.film	9340
362	taggedAs	9389
85	taggedAs	9388
99	taggedAs	9872
126	taggedAs	9555
1217	taggedAs	11253
3473	people.person.place_of_birth	4919
1144	taggedAs	9443
2299	taggedAs	9397
899	taggedAs	9531
1556	film.person_or_entity_appearing_in_film.film	6419
52	taggedAs	9876
156	taggedAs	9408
2304	taggedAs	9448
233	taggedAs	9613
3430	film.actor.film	4941
