user	relation	tag
567	createdTag	2227
1502	friendWith	1933
569	friendWith	1263
1125	friendWith	647
327	friendWith	1811
1661	createdTag	2179
911	friendWith	553
1690	createdTag	2179
44	friendWith	1152
507	createdTag	2181
1345	friendWith	1230
1920	friendWith	1682
2059	friendWith	400
1999	createdTag	2101
1027	friendWith	417
1848	createdTag	2178
486	friendWith	1034
1600	friendWith	2087
1635	createdTag	2178
1153	friendWith	691
1895	friendWith	318
1046	friendWith	227
1080	friendWith	2018
779	createdTag	2230
1393	friendWith	1543
697	createdTag	3259
922	createdTag	2121
79	friendWith	847
227	createdTag	2338
543	friendWith	864
2087	friendWith	497
363	friendWith	1277
581	friendWith	873
486	friendWith	795
1283	createdTag	3771
1196	friendWith	127
1600	friendWith	1184
213	friendWith	2069
646	friendWith	414
23	friendWith	1258
1189	friendWith	1023
697	friendWith	1907
609	friendWith	413
120	createdTag	2334
1352	friendWith	773
1635	friendWith	183
43	friendWith	463
1506	friendWith	655
1463	friendWith	829
938	friendWith	1993
2069	createdTag	2830
1938	createdTag	13891
1020	friendWith	1088
975	friendWith	1895
303	friendWith	754
1410	friendWith	258
14	friendWith	754
1623	friendWith	212
1670	friendWith	1419
1132	friendWith	717
143	friendWith	911
252	createdTag	2221
248	createdTag	2881
663	friendWith	1956
31	createdTag	2299
1453	friendWith	47
1543	friendWith	157
575	friendWith	266
1332	friendWith	1898
914	friendWith	1774
4	friendWith	534
730	friendWith	355
847	friendWith	1002
1234	friendWith	859
621	friendWith	1961
1895	friendWith	207
2006	friendWith	1167
941	friendWith	179
1138	friendWith	56
972	friendWith	485
1356	friendWith	609
1503	friendWith	1053
329	friendWith	1533
177	createdTag	2176
847	friendWith	318
2003	friendWith	39
1183	createdTag	2173
191	friendWith	210
406	createdTag	3638
1543	friendWith	1060
510	createdTag	2173
1830	friendWith	1809
503	friendWith	333
1792	createdTag	3174
282	createdTag	2487
271	friendWith	1437
2023	friendWith	1666
569	friendWith	1687
986	createdTag	2277
1301	friendWith	1046
232	friendWith	329
604	createdTag	4011
1145	friendWith	612
2030	createdTag	2399
1628	friendWith	1001
677	friendWith	1660
890	friendWith	696
531	friendWith	1924
671	friendWith	158
289	createdTag	2181
310	friendWith	2020
1060	createdTag	2173
674	friendWith	1184
1283	createdTag	10408
692	createdTag	7020
1628	friendWith	1080
1824	friendWith	122
183	friendWith	446
415	friendWith	518
1343	friendWith	1213
333	friendWith	390
348	friendWith	261
357	createdTag	2287
1720	friendWith	1221
616	createdTag	2172
1977	createdTag	2146
2085	friendWith	467
51	friendWith	1818
1642	friendWith	275
207	friendWith	1283
126	friendWith	1132
1283	friendWith	726
249	createdTag	2190
1780	friendWith	1478
1555	friendWith	778
655	friendWith	1130
942	friendWith	339
1343	createdTag	5982
647	friendWith	1035
297	createdTag	2392
1421	createdTag	2470
1628	friendWith	1136
2088	friendWith	2020
1742	friendWith	1813
1557	createdTag	2147
545	createdTag	2385
343	friendWith	1531
1979	friendWith	409
1258	friendWith	66
414	friendWith	1741
1662	friendWith	417
1522	createdTag	2139
1525	createdTag	2742
1281	friendWith	1543
492	friendWith	387
243	createdTag	2124
1021	friendWith	195
596	friendWith	1210
121	friendWith	1559
1527	createdTag	2295
2027	createdTag	2283
1381	friendWith	765
104	createdTag	2923
46	friendWith	911
815	friendWith	248
421	friendWith	146
1410	friendWith	768
150	friendWith	1423
697	createdTag	2118
1452	createdTag	2306
1234	createdTag	2495
396	createdTag	2139
875	friendWith	930
319	friendWith	1040
1478	createdTag	2299
335	friendWith	1356
1230	createdTag	10096
795	friendWith	340
1809	friendWith	413
1467	friendWith	162
1113	friendWith	79
2096	createdTag	2581
261	friendWith	1319
1981	createdTag	2124
814	createdTag	2124
439	createdTag	5641
1247	friendWith	1023
261	friendWith	348
405	friendWith	280
1478	friendWith	370
581	createdTag	2827
683	createdTag	2125
297	createdTag	2234
302	friendWith	179
370	friendWith	779
1481	createdTag	2349
40	friendWith	1089
560	friendWith	1258
1108	createdTag	9353
1969	friendWith	921
1792	createdTag	2950
500	friendWith	1801
1679	createdTag	2279
572	friendWith	503
190	createdTag	2310
1773	friendWith	1476
1572	friendWith	1869
201	friendWith	2085
1797	createdTag	2276
1491	friendWith	354
1557	friendWith	695
1177	createdTag	6649
651	friendWith	2058
608	createdTag	2368
226	friendWith	134
190	createdTag	4052
1058	friendWith	1198
396	createdTag	2205
1702	friendWith	109
1989	createdTag	2115
922	createdTag	2924
198	createdTag	4121
1069	friendWith	1684
1616	friendWith	1813
99	friendWith	124
1283	friendWith	1290
646	createdTag	2328
191	friendWith	534
816	friendWith	129
546	createdTag	3472
654	createdTag	2284
1856	friendWith	132
336	createdTag	2114
1342	friendWith	1626
336	createdTag	2291
2061	friendWith	2006
223	createdTag	2446
1488	friendWith	753
332	friendWith	134
1514	createdTag	2125
612	friendWith	2068
1873	friendWith	1597
78	friendWith	1315
1079	createdTag	2227
473	friendWith	1394
353	friendWith	534
333	friendWith	414
1718	createdTag	2725
1002	friendWith	232
1579	createdTag	2181
66	friendWith	699
499	friendWith	954
534	friendWith	236
1027	friendWith	1311
1258	friendWith	1792
906	friendWith	1120
1597	friendWith	193
761	friendWith	1879
1622	friendWith	1905
266	friendWith	1905
2003	createdTag	2547
582	createdTag	3179
1617	createdTag	2292
1615	createdTag	2227
1104	friendWith	1663
149	friendWith	870
581	createdTag	2464
1001	friendWith	1086
1560	friendWith	1753
1316	createdTag	10616
1281	friendWith	122
1061	createdTag	6363
261	friendWith	247
1769	friendWith	425
761	createdTag	2178
1173	friendWith	2097
1198	friendWith	1768
